,year,FIPS_CODE,pred_qty_oxy
168,2006,6075,13804.215795310507
169,2006,6077,9313.539551007509
170,2006,6079,-3407.505420421314
171,2006,6081,37278.86162883303
172,2006,6083,12448.988858912458
173,2006,6085,8031.159568443256
174,2006,6087,458.3987976315784
175,2006,6089,10186.01660449149
176,2006,6091,371.4968514772754
177,2006,6093,-3525.869650497769
178,2006,6095,4259.162380381365
179,2006,6097,11376.324602279437
180,2006,6099,4846.925196058057
181,2006,6101,12049.720035898996
182,2006,6103,21197.271146131396
183,2006,6105,6557.052687390098
184,2006,6107,-931.5488925332083
185,2006,6109,24119.223774816095
186,2006,6111,7793.336306711202
187,2006,6113,38049.86367575241
188,2006,6115,-1932.8330072978988
189,2006,8005,13356.84350164999
190,2006,8013,5229.529168436517
191,2006,8014,-10324.905733492275
192,2006,8015,-9588.850079665024
