,year,FIPS_CODE,pred_grams_hydro
171,2006,6081,36239.87374597972
172,2006,6083,9397.576377324302
173,2006,6085,759.1848900498968
174,2006,6087,9402.6153370538
175,2006,6089,4127.416070773361
176,2006,6091,5065.550295460713
177,2006,6093,7211.160868437077
178,2006,6095,8934.590758916811
179,2006,6097,10602.93158909853
180,2006,6099,12533.911549228093
181,2006,6101,2732.856058673066
182,2006,6103,23631.078837589397
183,2006,6105,6353.448691364273
184,2006,6107,3902.05137586998
185,2006,6109,20921.039660163176
186,2006,6111,7064.62180416856
187,2006,6113,25836.539664763546
188,2006,6115,4791.508037012767
189,2006,8005,17561.97304275665
190,2006,8013,7190.509711790107
191,2006,8014,840.8799736298288
192,2006,8015,4941.33916803414
193,2006,8017,16246.493444855269
194,2006,8019,16726.805283473335
195,2006,8023,4473.46943140587
