,year,FIPS_CODE,pred_grams_oxy
169,2006,6077,15464.06931100104
170,2006,6079,-5605.144962673985
171,2006,6081,67808.13540019526
172,2006,6083,16506.103361491078
173,2006,6085,9327.931160236127
174,2006,6087,384.54094565253035
175,2006,6089,12941.7124488829
176,2006,6091,-896.1173240188946
177,2006,6093,-7139.713800172583
178,2006,6095,5671.977219111897
179,2006,6097,19283.334436337744
180,2006,6099,6914.820835569
181,2006,6101,15592.462770728307
182,2006,6103,32112.12855019555
183,2006,6105,9649.16922932268
184,2006,6107,-2187.402414183365
185,2006,6109,32899.69362355216
186,2006,6111,13545.713935166626
187,2006,6113,32536.344198452425
188,2006,6115,-1582.1548996666534
189,2006,8005,23784.172028929246
190,2006,8013,5706.101388190742
191,2006,8014,-15787.487277574372
192,2006,8015,-14168.835425802863
