,year,state_fips_code,county_fips_code,pred_qty_oxy
216,2013,21,37,141127.53319053532
217,2013,21,81,53126.36091395121
218,2013,21,141,53817.420179467576
219,2013,21,167,50601.60228495858
220,2013,17,9,45007.11034653696
221,2013,17,123,32672.379264356903
222,2013,17,21,58123.129387599925
223,2013,17,77,70907.80925456446
224,2013,17,181,53909.75582147217
225,2013,17,165,53750.81009951304
226,2013,17,195,65773.07824176249
227,2013,17,37,146822.50998469876
228,2013,17,79,31639.1185815742
229,2013,17,197,250416.94620290873
230,2013,17,41,44300.770241218444
231,2013,17,61,30297.278366831226
232,2013,17,69,33777.27804123824
233,2013,17,95,68039.71199919564
234,2013,17,127,49136.54619617757
235,2013,17,89,234952.52353624205
236,2013,6,73,409228.4811904762
237,2013,6,107,192201.71692480176
238,2013,6,113,312737.9693466244
239,2013,6,23,212498.76548328914
240,2013,6,57,216208.4963174625
241,2013,6,3,46422.977643827835
242,2013,6,39,164271.39124495973
243,2013,6,45,85932.44105311454
244,2013,6,87,316163.4739495096
245,2013,6,105,54809.658173914264
246,2013,6,37,384899.56146825396
247,2013,6,65,241343.24492198127
248,2013,6,71,246326.51381087015
249,2013,6,85,409386.607
250,2013,6,41,297196.6180139033
251,2013,6,61,311511.50375414174
252,2013,6,93,70811.32754033506
253,2013,6,89,173386.2729280362
254,2013,6,95,184166.2715849719
255,2013,6,15,56953.0078490584
256,2013,6,21,58232.47877307831
257,2013,6,7,178113.92162867959
258,2013,6,63,56506.422080196804
259,2013,6,79,298877.8025777022
260,2013,6,29,263840.7280910483
261,2013,6,111,427643.72799999994
262,2013,6,9,65753.6307417625
263,2013,6,81,419544.4687142857
264,2013,6,109,69610.75340842917
265,2013,6,5,67103.92491308873
266,2013,8,95,43954.58159634477
267,2013,8,31,245636.985010526
268,2013,8,61,25179.883866908793
269,2013,8,9,25574.406640622088
270,2013,8,47,42402.99994036125
271,2013,8,63,43093.67459001549
272,2013,8,51,61338.54537497967
273,2013,8,59,242589.64422069356
274,2013,8,91,46362.292122666484
275,2013,8,103,46887.56835685604
276,2013,8,123,166654.8224436661
277,2013,8,21,56773.93494822653
278,2013,8,23,56313.909602087384
279,2013,8,67,78033.44012311798
280,2013,8,81,43763.509628735985
281,2013,8,105,53215.92635261205
282,2013,8,11,48466.01140242688
283,2013,8,25,53769.167113764466
